instance_name;round2disc;faithful;threads;seed;build_and_solve_time;total_instance_time;enumeration_time;rnr_solved_by_simplex;rnr_solved_by_primal;rnr_solved_by_dual;final_root_relaxation_time;final_root_relaxation_value;final_solving_time;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;run_total_time;solution_profit;solution_value;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/CHL5;false;true;1;1;0.0966801643371582;0.099258954;0.000318064;false;false;false;0.04;2.654;0.072293911;10;2498;345;10;2498;345;0.194030489;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_2MySEv
../instances/CHL7;false;true;12;1;1146.0393409729004;1146.466651221;0.05706379;false;false;false;57.97;5.07082453;1143.731136061;35;772618;12594;35;772618;12594;1146.595809006;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_2bleVw
../instances/Hchl4s;false;true;1;1;2075.312829017639;2075.583396547;0.029939521;false;false;false;102.77;1.70347784;2073.58017088;10;505815;9670;10;505815;9670;2075.694462915;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_318TYx
../instances/OF2;false;true;12;1;1.3639490604400635;1.382067962;0.002170694;false;false;false;0.41;3.44117647;1.257606281;10;31632;2110;10;31632;2110;1.48473847;-1;4;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_73aZ7u
../instances/Hchl3s;false;true;12;1;276.67673921585083;276.962136686;0.032625302;false;false;false;26.16;2.62317339;274.939037546;10;506117;9670;10;506117;9670;277.079478156;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_78E0av
../instances/3;false;true;1;1;1.1284890174865723;1.148462302;0.002398525;false;false;false;0.72;22.5;1.025074698;20;32395;1860;20;32395;1860;1.246681018;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_AM5u5u
../instances/A1;false;true;1;1;4.903257846832275;4.939814922;0.00272719;false;false;false;1.06;22.5;4.7854298;20;38730;2040;20;38730;2040;5.04289166;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_ApquQu
../instances/A3;false;true;12;1;242.84594702720642;242.911137807;0.006910561;false;false;false;2.3;6.90515736;242.503319587;20;115152;3752;20;115152;3752;243.030970755;-1;7;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_CTfvdv
../instances/Hchl6s;false;true;1;1;10802.601219177246;NaN;0.469675099;false;false;false;NaN;NaN;10789.648802578;22;4202385;44593;22;4202385;44593;10805.065913664;-1;16;true;true;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_DMAY5v
../instances/Hchl2;false;true;1;1;456.6000897884369;457.014842013;0.059104648;false;false;false;244.17;5.15471667;454.004315349;35;765481;12594;35;765481;12594;457.133679185;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_DliRGx
../instances/OF1;false;true;12;1;10800.019596099854;NaN;0.002369965;false;false;false;0.67;2.88059825;10799.906765683;10;34383;2098;10;34383;2098;10804.089234691;-1;4;true;true;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_GSbAHw
../instances/CU1;false;true;1;1;37.040534019470215;37.178692591;0.01934698;false;false;false;29.5;11.034062;36.058977125;25;261418;7700;25;261418;7700;37.283618482;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_HUsvkv
../instances/CW1;false;true;12;1;52.628365993499756;52.826572309;0.027418937;false;false;false;25.34;8.66103134;51.512881573;25;338989;8407;25;338989;8407;52.933709406;-1;9;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_HykJ4u
../instances/CW3;false;true;12;1;10800.798305988312;NaN;0.31597161;false;false;false;1013.65;14.7407892;10794.092392029;40;2329788;33224;40;2329788;33224;10803.369822939;-1;16;true;true;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_IgHNny
../instances/Hchl7s;false;true;1;1;10801.866778850555;NaN;0.382873712;false;false;false;NaN;NaN;10786.007941736;40;5348838;46491;40;5348838;46491;10805.001846225;-1;31;true;true;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_KcBxEx
../instances/Hchl9;false;true;12;1;5.865691184997559;5.934339058;0.007773729;false;false;false;3.69;9.26658112;5.486409461;35;118571;3666;35;118571;3666;6.036434143;-1;10;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_Lesjqy
../instances/Hchl2;false;true;12;1;312.01250982284546;312.445661239;0.06452733;false;false;false;60.2;5.1547167;309.361850547;35;765481;12594;35;765481;12594;312.564305948;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_LwErax
../instances/A5;false;true;1;1;235.81649899482727;236.053355957;0.034121797;false;false;false;177.99;3.72311764;234.222948586;20;469398;10402;20;469398;10402;236.167095424;-1;4;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_Nu9Qnv
../instances/CHL5;false;true;12;1;0.1425938606262207;0.145537443;0.000358983;true;false;true;0.03;2.654;0.116925664;10;2498;345;10;2498;345;0.242643639;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_QAqrJy
../instances/2;false;true;12;1;1.6751809120178223;1.710242332;0.00266798;false;false;false;0.78;1.5650457;1.524250061;10;48855;2017;10;48855;2017;1.815710688;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_QFReCy
../instances/CHL1;false;true;1;1;349.8379280567169;350.121635154;0.036891773;false;false;false;173.85;4.98376627;348.14848262;30;519161;10402;30;519161;10402;350.236082584;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_RcxNFx
../instances/Hchl7s;false;true;12;1;10801.081327199936;NaN;0.399425198;false;false;false;5898.18;6.32275558;10784.624144629;40;5348838;46491;40;5348838;46491;10804.321209245;-1;31;true;true;BUILT_MODEL;./experiments_outputs/2020-11-16T19:13:37/jl_S9bWgw
