instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;pricing_time;total_instance_time;qt_piece_types;qt_cmvars_pre_pricing;qt_plates_pre_pricing;qt_cmvars_pre_purge;qt_plates_pre_purge;qt_cmvars_pos_purge;qt_plates_pos_purge;finished;datafile
../instances/CHL6;furini;false;false;706.6344637560001;712.219954047;30;776048;13170;41172;13170;7276;3032;true;./experiments_outputs/2020-05-30T23:26:05/jl_00pydd
../instances/okp2;none;true;true;NaN;1.847493215;30;289795;9506;289795;9506;289795;9506;true;./experiments_outputs/2020-05-29T21:37:37/jl_1qaS2R
../instances/A2s;none;false;false;NaN;0.228047311;20;47287;2276;47287;2276;47287;2276;true;./experiments_outputs/2020-05-29T21:37:37/jl_21G1Sq
../instances/okp4;none;true;true;NaN;1.782489377;33;287740;9049;287740;9049;287740;9049;true;./experiments_outputs/2020-05-29T21:37:37/jl_264QMf
../instances/gcut12;none;true;false;NaN;378.226216796;50;38308429;489428;38308429;489428;38308429;489428;true;./experiments_outputs/2020-05-29T21:37:37/jl_2MbtUA
../instances/gcut6;none;true;false;NaN;6.95075725;20;1044390;73814;1044390;73814;1044390;73814;true;./experiments_outputs/2020-05-29T21:37:37/jl_2MrkrA
../instances/CW2;furini;false;false;93.10853208200001;98.201111226;35;697017;14664;275789;14664;245291;13440;true;./experiments_outputs/2020-05-30T23:26:05/jl_2PHxpT
../instances/gcut6;none;true;true;NaN;10.0983387;20;1717090;74797;1717090;74797;1717090;74797;true;./experiments_outputs/2020-05-29T21:37:37/jl_2kPkHC
../instances/gcut4;furini;false;false;328.118284828;338.84643385;50;2010322;35176;219258;35176;57587;10386;true;./experiments_outputs/2020-05-30T23:26:05/jl_2nFuLC
../instances/Hchl2;furini;false;false;981.72259312;986.829422356;35;765481;12594;185033;12594;167238;11346;true;./experiments_outputs/2020-05-30T23:26:05/jl_2qjE9q
../instances/2s;furini;false;false;5.531279132000001;5.784104051;10;48855;2017;8065;2017;1196;427;true;./experiments_outputs/2020-05-30T23:26:05/jl_30LdQ7
../instances/STS4;none;true;false;NaN;2.251456626;20;337183;7224;337183;7224;337183;7224;true;./experiments_outputs/2020-05-29T21:37:37/jl_32dk51
../instances/OF1;none;true;false;NaN;0.186114794;10;34812;2098;34812;2098;34812;2098;true;./experiments_outputs/2020-05-29T21:37:37/jl_3BIyX3
../instances/gcut9;none;false;false;NaN;2.233695033;10;310704;36152;310704;36152;310704;36152;true;./experiments_outputs/2020-05-29T21:37:37/jl_3WfHOP
../instances/cgcut1;furini;false;false;0.417377504;0.447438849;7;737;140;271;140;205;99;true;./experiments_outputs/2020-05-30T23:26:05/jl_3gB1GW
