instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;qt_pevars_restricted;qt_cmvars_restricted;qt_plates_restricted;qt_pevars_priced_restricted;qt_cmvars_priced_restricted;qt_plates_priced_restricted;qt_pevars_before_iterated;qt_cmvars_before_iterated;qt_plates_before_iterated;qt_pevars_after_iterated;qt_cmvars_after_iterated;qt_plates_after_iterated;qt_pevars_after_final;qt_cmvars_after_final;qt_plates_after_final;qt_pevars_after_pricing;qt_cmvars_after_pricing;qt_plates_after_pricing;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;build_stop_reason;had_timeout;finished;datafile
../instances/CHL1;none;false;false;30;519161;10402;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;519161;10402;30;519161;10402;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_0Xvc1w
../instances/CU2;none;true;true;35;951854;16068;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;35;951854;16068;35;951854;16068;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_0yWue2
../instances/HH;none;true;false;5;137007;5486;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;137007;5486;5;137007;5486;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_1I9552
../instances/Hchl9;none;false;true;35;129518;3666;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;35;129518;3666;35;129518;3666;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_1Owztu
../instances/okp2;none;true;true;30;289795;9506;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;289795;9506;30;289795;9506;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_1S9hoF
../instances/CW3;none;false;true;40;2644210;33224;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;2644210;33224;40;2644210;33224;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_1miYz6
../instances/CHL1s;none;false;true;30;546548;10402;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;546548;10402;30;546548;10402;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_2MRfNX
../instances/okp3;none;false;true;30;260154;8356;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;260154;8356;30;260154;8356;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_2RiGuw
../instances/CHL7;none;true;false;35;780287;12594;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;35;780287;12594;35;780287;12594;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_2bbpUP
../instances/CU2;furini;false;false;35;716679;16068;35;94218;5365;35;36266;5365;35;429741;16068;35;434385;16068;-1;-1;-1;-1;-1;-1;-1;-1;-1;FOUND_OPTIMUM;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_2clOgT
../instances/2;furini;false;false;10;48855;2017;10;8981;1019;10;8876;1019;10;20177;2017;10;20606;2017;10;5462;2017;10;5462;2017;10;314;191;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_2fnriw
../instances/CHL1;none;true;true;30;548989;10402;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;548989;10402;30;548989;10402;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_2htwiH
../instances/OF2;none;false;true;10;36527;2110;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;36527;2110;10;36527;2110;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_2xaxgy
../instances/A3;none;true;false;20;118989;3752;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;118989;3752;20;118989;3752;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_37q2Xv
../instances/gcut3;none;true;true;30;1969360;32681;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;1969360;32681;30;1969360;32681;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_3O1bs0
../instances/STS4s;none;true;false;20;337183;7224;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;337183;7224;20;337183;7224;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_3Ru6zx
../instances/HH;none;false;true;5;139772;5486;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;139772;5486;5;139772;5486;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_3VzVht
../instances/CHL6;none;true;false;30;781121;13170;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;781121;13170;30;781121;13170;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_3ZftG1
../instances/3;none;false;false;20;32395;1860;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;32395;1860;20;32395;1860;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_3efGnv
../instances/gcut2;none;false;false;20;630744;28793;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;630744;28793;20;630744;28793;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_44DBka
../instances/gcut1;none;true;true;10;39886;4429;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;39886;4429;10;39886;4429;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_48XLFW
../instances/STS4s;furini;false;false;20;332980;7224;20;66378;4020;20;60749;4020;20;136820;7224;20;138097;7224;20;16982;7224;20;16982;7224;20;1887;1054;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_4CT5aZ
