instance_name;best
cgcut1;244
CHL5;390
Hchl8s;911
OF2;2690
cgcut3;1860
wang20;2721
3;1860
3s;2721
W;2721
OF1;2737
gcut1;48368
A1;2020
A1s;2950
cgcut2;2892
2;2892
2s;2778
CHL2;2326
CHL2s;3279
A2;2505
A2s;3535
STS2;4620
STS2s;4653
Hchl9;5240
A3;5451
HH;11586
A4;6179
gcut5;195582
okp1;27589
okp3;24019
okp4;32893
okp2;22503
CU1;12330
STS4;9700
STS4s;9770
okp5;27923
CW1;6402
gcut9;919476
A5;12985
Hchl4s;12006
Hchl3s;12215
CHL1;8699
CHL1s;13099
CHL6;16869
Hchl2;9954
CHL7;16881
CW2;5354
CU2;26100
gcut2;59307
gcut6;236305
gcut3;60241
gcut10;903435
CW3;5689
gcut4;60942
Hchl6s;61040
gcut7;238974
Hchl7s;63112
gcut8;245758
gcut11;955389
gcut12;970744
