instance_name;lb;ub
P1_100_200_25_1;27251;27340
P1_100_200_25_2;24870;25522
P1_100_200_25_3;25730;26088
P1_100_200_25_4;26769;27051
P1_100_200_25_5;25772;26857
P1_100_200_50_1;28388;28558
P1_100_200_50_2;26276;26326
P1_100_200_50_3;27165;27679
P1_100_200_50_4;27977;28388
P1_100_200_50_5;27603;28009
P1_100_400_25_1;53904;55038
P1_100_400_25_2;44581;47097
P1_100_400_25_3;47455;49473
P1_100_400_25_4;40517;46078
P1_100_400_25_5;53205;54063
P1_100_400_50_1;55856;57074
P1_100_400_50_2;48373;51893
P1_100_400_50_3;49443;51695
P1_100_400_50_4;52708;55661
P1_100_400_50_5;53502;55454
P2_200_100_25_1;21494;21494
P2_200_100_25_2;25413;25648
P2_200_100_25_3;25397;25723
P2_200_100_25_4;25437;26898
P2_200_100_25_5;26220;26898
P2_200_100_50_1;25627;26447
P2_200_100_50_2;27789;27943
P2_200_100_50_3;27453;27596
P2_200_100_50_4;27362;27718
P2_200_100_50_5;29386;29386
P2_400_100_25_1;49026;51006
P2_400_100_25_2;47773;49908
P2_400_100_25_3;45406;48938
P2_400_100_25_4;49521;52229
P2_400_100_25_5;47403;54248
P2_400_100_50_1;52890;55629
P2_400_100_50_2;53492;55543
P2_400_100_50_3;54216;56065
P2_400_100_50_4;48649;55604
P2_400_100_50_5;50047;55471
P3_150_150_25_1;29896;30005
P3_150_150_25_2;29101;29961
P3_150_150_25_3;30286;30327
P3_150_150_25_4;30480;30606
P3_150_150_25_5;30924;31839
P3_150_150_50_1;31701;31892
P3_150_150_50_2;30884;31115
P3_150_150_50_3;32050;32240
P3_150_150_50_4;31925;32070
P3_150_150_50_5;31448;31901
P3_250_250_25_1;58480;60611
P3_250_250_25_2;68070;73339
P3_250_250_25_3;62275;65412
P3_250_250_25_4;64079;69747
P3_250_250_25_5;74666;78579
P3_250_250_50_1;67603;76341
P3_250_250_50_2;75569;82666
P3_250_250_50_3;80439;82963
P3_250_250_50_4;69390;78303
P3_250_250_50_5;77833;86327
P4_150_150_25_1;30923;31130
P4_150_150_25_2;30460;30931
P4_150_150_25_3;30352;30352
P4_150_150_25_4;30106;30106
P4_150_150_25_5;30582;31286
P4_150_150_50_1;31673;31673
P4_150_150_50_2;32317;32423
P4_150_150_50_3;30882;31756
P4_150_150_50_4;31912;32140
P4_150_150_50_5;31864;32484
P4_250_250_25_1;72018;75548
P4_250_250_25_2;70235;72893
P4_250_250_25_3;68058;71077
P4_250_250_25_4;79476;81839
P4_250_250_25_5;67711;71953
P4_250_250_50_1;81997;86505
P4_250_250_50_2;77206;87331
P4_250_250_50_3;73745;83188
P4_250_250_50_4;78359;87069
P4_250_250_50_5;71176;80612
