instance_name;pricing_method;qt_pevars_priced_restricted;qt_cmvars_priced_restricted;qt_plates_priced_restricted;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;heuristic_lb;restricted_obj_value;restricted_obj_bound;restricted_lp_stop_reason;restricted_stop_reason;solved_priced_restricted_model;enumeration_time;heuristic_lb_time;restricted_pricing_time;iterative_pricing_time;final_pricing_time;total_pricing_time;final_root_relaxation_time;final_solving_time;obj_value;solution_profit;obj_bound;total_instance_time;build_and_solve_time;run_total_time;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/P2_200_100_25_4;furini;1108;168268;10439;-1;-1;-1;17785.0;25729.0;26181.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.024362341;1.44620808;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.21753195;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:01:05/jl_0wUxek
../instances/P2_400_100_25_4;none;-1;-1;-1;1234;2093070;21714;35833.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.070083495;2.400128867;NaN;NaN;NaN;NaN;399.75;10790.711060495;49847.0;49847.0;51600.0;NaN;10800.334465026855;10801.838699165;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:01:05/jl_1niKFk
../instances/P1_100_400_50_4;none;-1;-1;-1;2870;3269985;32455;44403.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.130364501;1.757122108;NaN;NaN;NaN;NaN;1622.2;10787.407279561;55107.0;55107.0;55654.0;NaN;10800.598289966583;10802.683130469;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:01:05/jl_3vQimk
../instances/P2_400_100_50_4;furini;2781;944134;28169;-1;-1;-1;37681.0;53375.0;54857.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.10847447;2.912608532;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.352161253;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:01:05/jl_3zc7tk
../instances/P2_200_100_50_4;none;-1;-1;-1;2427;675511;12878;19336.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.037750896;2.083108575;NaN;NaN;NaN;NaN;85.06;10795.606973107;27439.0;27439.0;27704.0;NaN;10800.125086069107;10800.743556193;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:01:05/jl_6ytMsl
../instances/P4_150_150_50_4;none;-1;-1;-1;3707;960161;17740;26007.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.058781816;2.085136701;NaN;NaN;NaN;NaN;150.37;1664.909604039;31961.0;31961.0;31961.0;1671.127717679;1670.587378025055;1671.289743076;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:01:05/jl_ArEnHn
../instances/P1_100_400_25_4;furini;-1;-1;-1;-1;-1;-1;38365.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.11503413;0.986126267;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.297600742;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:01:05/jl_B74Jbk
../instances/P4_250_250_50_4;furini;-1;-1;-1;-1;-1;-1;67973.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.250501048;2.946439707;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.686877929;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:01:05/jl_FpXgEl
../instances/P1_100_400_25_4;none;-1;-1;-1;1504;2638672;28477;38365.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.109342744;1.025368516;NaN;NaN;NaN;NaN;1383.22;10789.856765097;38567.0;38567.0;46069.0;NaN;10800.479666948318;10802.182163651;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:01:05/jl_MpvkIl
../instances/P3_150_150_25_4;none;-1;-1;-1;1575;698770;14698;25505.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.034745757;1.113452959;NaN;NaN;NaN;NaN;103.61;10796.914475363;30480.0;30480.0;30788.0;NaN;10800.570845842361;10801.165095177;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:01:05/jl_N2V39i
