instfname;experiment;num_vars;num_plates
STS4;13;352590;7224
Hchl2;13;828561;12594
CW1;13;410004;8407
CW2;13;884289;14664
CW3;13;2837862;33224
CHL1;13;549019;10402
CHL6;13;817604;13170
CHL7;13;831884;12594
okp1;13;255497;7947
okp2;13;289825;9506
okp3;13;261074;8356
okp4;13;287773;9049
okp5;13;368529;9506
gcut2;13;1105140;28793
gcut3;13;1969390;32681
gcut4;13;2963221;35176
gcut5;13;250327;25336
gcut6;13;1717110;74797
gcut7;13;4908322;100800
gcut8;13;16329925;136524
gcut9;13;474360;38936
gcut10;13;2625443;138062
gcut11;13;32997962;400070
gcut12;13;66415467;489428
A5;13;494455;10402
STS4s;13;352590;7224
Hchl3s;13;526403;9670
Hchl4s;13;525902;9670
Hchl6s;13;4730229;44593
Hchl7s;13;5722617;46491
CHL1s;13;549019;10402
CU1;13;335415;7700
CU2;13;951889;16068
STS4;14;95.6;100
STS4;15;98.3;100
STS4;16;94.0;100
Hchl2;14;93.3;100
Hchl2;15;98.6;100
Hchl2;16;92.0;100
CW1;14;86.3;100
CW1;15;94.6;100
CW1;16;80.9;100
CW2;14;83.4;100
CW2;15;91.6;100
CW2;16;75.0;100
CW3;14;88.0;100
CW3;15;90.6;100
CW3;16;78.6;100
CHL1;14;95.0;100
CHL1;15;99.4;100
CHL1;16;94.4;100
CHL6;14;95.5;100
CHL6;15;99.3;100
CHL6;16;94.9;100
CHL7;14;93.8;100
CHL7;15;98.6;100
CHL7;16;92.4;100
okp1;14;98.2;100
okp1;15;100;100
okp1;16;98.2;100
okp2;14;90.4;100
okp2;15;100;100
okp2;16;90.4;100
okp3;14;85.9;100
okp3;15;99.9;100
okp3;16;85.9;100
okp4;14;94.4;100
okp4;15;100;100
okp4;16;94.4;100
okp5;14;97.3;100
okp5;15;100;100
okp5;16;97.3;100
gcut2;14;64.5;100
gcut2;15;77;100
gcut2;16;48.5;100
gcut3;14;66.7;100
gcut3;15;77.1;100
gcut3;16;47.3;100
gcut4;14;76.2;100
gcut4;15;84.3;100
gcut4;16;60.5;100
gcut5;14;69.7;96.6
gcut5;15;92.3;100
gcut5;16;67.6;96.6
gcut6;14;60.8;98.7
gcut6;15;83.7;100
gcut6;16;55.9;98.7
gcut7;14;58.6;99.7
gcut7;15;74.1;100
gcut7;16;44.0;99.7
gcut8;14;70.7;100
gcut8;15;77.5;100
gcut8;16;48.5;100
gcut9;14;66.9;92.8
gcut9;15;92.4;100
gcut9;16;65.0;92.8
gcut10;14;0.8;1.8
gcut10;15;85.5;100
gcut10;16;0.8;1.8
gcut11;14;67.5;100
gcut11;15;75.4;100
gcut11;16;43.6;100
gcut12;14;57.7;100
gcut12;15;70.1;100
gcut12;16;34.5;100
A5;14;95.6;100
A5;15;99.3;100
A5;16;95.0;100
STS4s;14;95.6;100
STS4s;15;98.3;100
STS4s;16;94.0;100
Hchl3s;14;97.0;100
Hchl3s;15;99.1;100
Hchl3s;16;99.1;100
Hchl4s;14;97.0;100
Hchl4s;15;99.1;100
Hchl4s;16;99.1;100
Hchl6s;14;90.3;100
Hchl6s;15;98.1;100
Hchl6s;16;88.4;100
Hchl7s;14;94.6;100
Hchl7s;15;98.5;100
Hchl7s;16;93.1;100
CHL1s;14;95.0;100
CHL1s;15;99.4;100
CHL1s;16;95.0;100
CU1;14;81.6;100
CU1;15;92.7;100
CU1;16;74.3;100
CU2;14;78.9;100
CU2;15;92.9;100
CU2;16;71.8;100
