instfname;experiment;num_vars;num_plates
A5;13;494455;10402
CHL1;13;549019;10402
CHL1s;13;549019;10402
CHL6;13;817604;13170
CHL7;13;831884;12594
CU1;13;335415;7700
CU2;13;951889;16068
CW1;13;410004;8407
CW2;13;884289;14664
CW3;13;2837862;33224
gcut10;13;2625443;138062
gcut11;13;32997962;400070
gcut12;13;66415467;489428
gcut2;13;1105140;28793
gcut3;13;1969390;32681
gcut4;13;2963221;35176
gcut5;13;250327;25336
gcut6;13;1717110;74797
gcut7;13;4908322;100800
gcut8;13;16329925;136524
gcut9;13;474360;38936
Hchl2;13;828561;12594
Hchl3s;13;526403;9670
Hchl4s;13;525902;9670
Hchl6s;13;4730229;44593
Hchl7s;13;5722617;46491
okp1;13;255497;7947
okp2;13;289825;9506
okp3;13;261074;8356
okp4;13;287773;9049
okp5;13;368529;9506
STS4;13;352590;7224
STS4s;13;352590;7224
A5;14;472699;10402
CHL1;14;521568;10402
CHL1s;14;521568;10402
CHL6;14;780812;13170
CHL7;14;780307;12594
CU1;14;273699;7700
CU2;14;751040;16068
CW1;14;353833;8407
CW2;14;737497;14664
CW3;14;2497319;33224
gcut10;14;21004;2485
gcut11;14;22273624;400070
gcut12;14;38321724;489428
gcut2;14;712815;28793
gcut3;14;1313583;32681
gcut4;14;2257974;35176
gcut5;14;174478;24475
gcut6;14;1044003;73825
gcut7;14;2876277;100498
gcut8;14;11545257;136524
gcut9;14;317347;36133
Hchl2;14;773047;12594
Hchl3s;14;510611;9670
Hchl4s;14;510125;9670
Hchl6s;14;4271397;44593
Hchl7s;14;5413596;46491
okp1;14;250898;7947
okp2;14;262002;9506
okp3;14;224263;8356
okp4;14;271658;9049
okp5;14;358579;9506
STS4;14;337076;7224
STS4s;14;337076;7224
A5;15;490994;10402
CHL1;15;545725;10402
CHL1s;15;545725;10402
CHL6;15;811881;13170
CHL7;15;820238;12594
CU1;15;310930;7700
CU2;15;884305;16068
CW1;15;387864;8407
CW2;15;810009;14664
CW3;15;2571103;33224
gcut10;15;2244754;138062
gcut11;15;24880463;400070
gcut12;15;46557242;489428
gcut2;15;850958;28793
gcut3;15;1518400;32681
gcut4;15;2497995;35176
gcut5;15;231052;25336
gcut6;15;1437221;74797
gcut7;15;3637067;100800
gcut8;15;12655692;136524
gcut9;15;438309;38936
Hchl2;15;816961;12594
Hchl3s;15;521665;9670
Hchl4s;15;521169;9670
Hchl6s;15;4640355;44593
Hchl7s;15;5636778;46491
okp1;15;255497;7947
okp2;15;289825;9506
okp3;15;260813;8356
okp4;15;287773;9049
okp5;15;368529;9506
STS4;15;346596;7224
STS4s;15;346596;7224
A5;16;469732;10402
CHL1;16;518274;10402
CHL1s;16;521568;10402
CHL6;16;775906;13170
CHL7;16;768661;12594
CU1;16;249213;7700
CU2;16;683456;16068
CW1;16;331693;8407
CW2;16;663217;14664
CW3;16;2230560;33224
gcut10;16;21004;2485
gcut11;16;14387111;400070
gcut12;16;22913336;489428
gcut2;16;535993;28793
gcut3;16;931521;32681
gcut4;16;1792749;35176
gcut5;16;169221;24475
gcut6;16;959864;73825
gcut7;16;2159662;100498
gcut8;16;7920014;136524
gcut9;16;308334;36133
Hchl2;16;762276;12594
Hchl3s;16;521665;9670
Hchl4s;16;521169;9670
Hchl6s;16;4181522;44593
Hchl7s;16;5327756;46491
okp1;16;250898;7947
okp2;16;262002;9506
okp3;16;224263;8356
okp4;16;271658;9049
okp5;16;358579;9506
STS4;16;331435;7224
STS4s;16;331435;7224
