instfname;experiment;num_vars
1;A5;20;93946
2;CHL1;20;272862
3;CHL1s;20;93333
4;CHL6;20;35975
5;CHL7;20;154730
6;CU1;20;16771
7;CU2;20;42835
8;CW1;20;109471
9;CW2;20;255560
10;CW3;20;383111
11;gcut10;20;13127
12;gcut11;20;3365792
13;gcut12;20;2390957
14;gcut2;20;118250
15;gcut3;20;110286
16;gcut4;20;225205
17;gcut5;20;132924
18;gcut6;20;233527
19;gcut7;20;402482
20;gcut8;20;538888
21;gcut9;20;146103
22;Hchl2;20;182283
23;Hchl3s;20;205824
24;Hchl4s;20;396004
25;Hchl6s;20;4181522
26;Hchl7s;20;5327756
27;okp1;20;96322
28;okp2;20;262002
29;okp3;20;222696
30;okp4;20;28777
31;okp5;20;42381
32;STS4;20;34201
33;STS4s;20;15514
