instfname;seed;n;n_;p_;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/gcut2";1;20;20;3.787878787878788;6.005654811859131;;954744;1938281;28793;20;954724;;;
"./instances/gcut3";1;30;30;3.9682539682539684;9.570863962173462;;1757334;3547349;32681;30;1757304;;;
"./instances/gcut4";1;50;50;4.032258064516129;16.34916400909424;;2781883;5598942;35176;50;2781833;;;
"./instances/gcut5";1;10;10;3.787878787878788;1.758469820022583;;228215;481766;25336;10;228205;;;
"./instances/gcut6";1;20;20;3.787878787878788;8.767256021499634;;1509300;3093397;74797;20;1509280;;;
"./instances/gcut7";1;30;30;3.875968992248062;25.207043886184692;;4260902;8622604;100800;30;4260872;;;
"./instances/gcut8";1;50;50;3.937007874015748;89.48325514793396;;14378497;28893518;136524;50;14378447;;;
"./instances/gcut9";1;10;10;3.4246575342465753;4.292940855026245;;455854;950644;38936;10;455844;;;
"./instances/gcut10";1;20;20;3.8461538461538463;14.732300996780396;;2292633;4723328;138062;20;2292613;;;
"./instances/gcut11";1;30;30;3.7593984962406015;197.30476212501526;;27420287;55240644;400070;30;27420257;;;
"./instances/gcut12";1;50;50;3.937007874015748;477.58625316619873;;55647644;111784716;489428;50;55647594;;;
"./instances/STS4";1;20;50;7.071428571428571;10.220440149307251;;415527;838298;7224;20;415507;;;
"./instances/STS4s";1;20;50;7.071428571428571;2.8302929401397705;;415527;838298;7224;20;415507;;;
"./instances/A5";1;20;45;10.153846153846153;3.620408058166504;;570413;1151248;10402;20;570393;;;
"./instances/Hchl2";1;35;75;7.222222222222222;6.557606935501099;;1030334;2073297;12594;35;1030299;;;
"./instances/Hchl3s";1;10;51;8.466666666666667;4.02965784072876;;636273;1282226;9670;10;636263;;;
"./instances/Hchl4s";1;10;32;8.466666666666667;3.964777946472168;;635745;1281170;9670;10;635735;;;
"./instances/Hchl6s";1;22;60;7.228571428571429;31.383996963500977;;5189899;10424413;44593;22;5189877;;;
"./instances/Hchl7s";1;40;90;7.96969696969697;40.81125283241272;;6757465;13561461;46491;40;6757425;;;
"./instances/CW1";1;25;67;5.0;3.4280340671539307;;434457;877346;8407;25;434432;;;
"./instances/CW2";1;35;63;4.852941176470588;5.233739852905273;;891343;1797385;14664;35;891308;;;
"./instances/CW3";1;40;96;4.6;17.088515996932983;;2833905;5701074;33224;40;2833865;;;
"./instances/CHL1";1;30;63;10.153846153846153;4.408775806427002;;684976;1380384;10402;30;684946;;;
"./instances/CHL1s";1;30;63;10.153846153846153;4.2087860107421875;;684976;1380384;10402;30;684946;;;
"./instances/CHL6";1;30;65;10.833333333333334;6.28632116317749;;1034677;2082554;13170;30;1034647;;;
"./instances/CHL7";1;35;75;7.222222222222222;5.748064994812012;;1036926;2086481;12594;35;1036891;;;
"./instances/CU1";1;25;82;5.0;1.6323940753936768;;336822;681369;7700;25;336797;;;
"./instances/CU2";1;35;90;5.0;5.370418071746826;;966089;1948281;16068;35;966054;;;
"./instances/okp1";1;15;50;100.0;1.735741138458252;;300508;608978;7947;15;300493;;;
"./instances/okp2";1;30;30;100.0;2.111859083175659;;364556;738618;9506;30;364526;;;
"./instances/okp3";1;30;30;33.333333333333336;1.527000904083252;;300533;609422;8356;30;300503;;;
"./instances/okp4";1;33;61;100.0;2.1218979358673096;;369689;748460;9049;33;369656;;;
"./instances/okp5";1;29;97;100.0;3.0852980613708496;;491823;993181;9506;29;491794;;;
"./instances/P1_100_200_25_1";1;25;127;16.666666666666668;9.816106796264648;;1633591;3284803;17596;25;1633566;;;
"./instances/P1_100_200_25_2";1;25;124;20.0;10.610774993896484;;1805853;3629671;17940;25;1805828;;;
"./instances/P1_100_200_25_3";1;25;120;16.666666666666668;11.29961085319519;;1866043;3749912;17801;25;1866018;;;
"./instances/P1_100_200_25_4";1;25;150;16.666666666666668;10.297748804092407;;1746070;3509645;17480;25;1746045;;;
"./instances/P1_100_200_25_5";1;25;98;20.0;11.081561803817749;;1836835;3691718;18023;25;1836810;;;
