instfname;experiment;num_vars;num_plates
STS4;9;352590;7224
STS4;10;337263;7224
STS4;11;349438;7224
STS4;12;334111;7224
Hchl2;9;828561;12594
Hchl2;10;774507;12594
Hchl2;11;822558;12594
Hchl2;12;768504;12594
CW1;9;410004;8407
CW1;10;353984;8407
CW1;11;398468;8407
CW1;12;342448;8407
CW2;9;884289;14664
CW2;10;737345;14664
CW2;11;845943;14664
CW2;12;698999;14664
CW3;9;2837862;33224
CW3;10;2496318;33224
CW3;11;2702206;33224
CW3;12;2360662;33224
CHL1;9;549019;10402
CHL1;10;525163;10402
CHL1;11;547226;10402
CHL1;12;523370;10402
CHL6;9;721560;16713
CHL6;10;710525;16713
CHL6;11;721560;16713
CHL6;12;710525;16713
CHL7;9;733428;16504
CHL7;10;697647;16504
CHL7;11;733428;16504
CHL7;12;697647;16504
okp1;9;255497;7947
okp1;10;255276;7947
okp1;11;254613;7947
okp1;12;254392;7947
okp2;9;289825;9506
okp2;10;282317;9506
okp2;11;289819;9506
okp2;12;282311;9506
okp3;9;261074;8356
okp3;10;257770;8356
okp3;11;260998;8356
okp3;12;257694;8356
okp4;9;287773;9049
okp4;10;286671;9049
okp4;11;287724;9049
okp4;12;286622;9049
okp5;9;368529;9506
okp5;10;366113;9506
okp5;11;368493;9506
okp5;12;366077;9506
gcut2;9;1105140;28793
gcut2;10;712972;28793
gcut2;11;987235;28793
gcut2;12;626515;28793
gcut3;9;1969390;32681
gcut3;10;1312816;32681
gcut3;11;1756081;32681
gcut3;12;1127094;32681
gcut4;9;2963221;35176
gcut4;10;2258216;35176
gcut4;11;2729838;35176
gcut4;12;2024833;35176
gcut5;9;250327;25336
gcut5;10;174457;24470
gcut5;11;239711;25336
gcut5;12;170931;24470
gcut6;9;1717110;74797
gcut6;10;1044410;73814
gcut6;11;1591139;74797
gcut6;12;994207;73814
gcut7;9;4908322;100800
gcut7;10;2875259;100545
gcut7;11;4362624;100800
gcut7;12;2512109;100545
gcut8;9;16329925;136524
gcut8;10;11538561;136524
gcut8;11;14574376;136524
gcut8;12;9809683;136524
gcut9;9;474360;38936
gcut9;10;317151;36152
gcut9;11;457856;38936
gcut9;12;311561;36152
gcut10;9;2625443;138062
gcut10;10;21188;2537
gcut10;11;2450867;138062
gcut10;12;20735;2537
gcut11;9;32997962;400070
gcut11;10;22279568;400070
gcut11;11;29444217;400070
gcut11;12;18863364;400070
gcut12;9;66415467;489428
gcut12;10;38308479;489428
gcut12;11;57593687;489428
gcut12;12;31289676;489428
A5;9;494455;10402
A5;10;475543;10402
A5;11;492662;10402
A5;12;473750;10402
STS4s;9;352590;7224
STS4s;10;337263;7224
STS4s;11;349438;7224
STS4s;12;334111;7224
Hchl3s;9;526403;9670
Hchl3s;10;511467;9670
Hchl3s;11;523887;9670
Hchl3s;12;508951;9670
Hchl4s;9;525902;9670
Hchl4s;10;511049;9670
Hchl4s;11;523386;9670
Hchl4s;12;508533;9670
Hchl6s;9;4730229;44593
Hchl6s;10;4277746;44593
Hchl6s;11;4682675;44593
Hchl6s;12;4230192;44593
Hchl7s;9;5722617;46491
Hchl7s;10;5420145;46491
Hchl7s;11;5678487;46491
Hchl7s;12;5376015;46491
CHL1s;9;549019;10402
CHL1s;10;525163;10402
CHL1s;11;547226;10402
CHL1s;12;523370;10402
CU1;9;335415;7700
CU1;10;273857;7700
CU1;11;322318;7700
CU1;12;260760;7700
CU2;9;951888;16068
CU2;10;750678;16068
CU2;11;917238;16068
CU2;12;716028;16068
