instance_path;rotation;mirror_plates;faithful;round2disc;pricing;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2CSP/A/A7;0;0;0;1;none;40;126;52;40;126;52;0;40;126;52;40;126;52;4.5516e-5;167;556;429;0.001881697;0.02285289764404297;BUILT_MODEL;MathOptInterface.OPTIMAL;0.026983022689819336;0.0;13.0;13.0;13;0.002925872802734375;0.02991318702697754;0.030061523;false;0.092010691;0.12488118;0.091665057;./experiments_outputs/2021-05-26T19:02:42/jl_4yb0wC
../instances/G2CSP/A/A42;0;0;0;1;none;17;43;17;17;43;17;0;17;43;17;17;43;17;4.1318e-5;61;206;156;0.021172617;0.28061389923095703;BUILT_MODEL;MathOptInterface.OPTIMAL;0.29445695877075195;0.0;8.0;8.0;8;0.002980947494506836;0.29744410514831543;0.305860909;false;0.094766316;0.908343115;0.101776472;./experiments_outputs/2021-05-26T19:02:42/jl_5RKaoA
../instances/G2CSP/A/A22;0;0;0;1;none;1;15;10;1;15;10;0;1;15;10;1;15;10;3.8472e-5;17;60;40;0.002988425;0.00504612922668457;BUILT_MODEL;MathOptInterface.OPTIMAL;0.00637507438659668;0.0;3.0;3.0;3;0.001230001449584961;0.007607936859130859;0.007742071;false;0.093031692;0.102866043;0.092865959;./experiments_outputs/2021-05-26T19:02:42/jl_5S0t3C
../instances/G2CSP/A/A28;0;0;0;1;none;184772;32380740;419942;184772;32380740;419942;0;184772;32380740;419942;184772;32380740;419942;9.550884222;32565513;98116533;97102532;11.735429737;158.9291307926178;BUILT_MODEL;MathOptInterface.MEMORY_LIMIT;271.162132024765;NaN;NaN;NaN;-1;NaN;NaN;NaN;true;17.174564586;291.422210219;66.209039951;./experiments_outputs/2021-05-26T19:02:42/jl_830EpA
../instances/G2CSP/A/A5;0;0;0;1;none;228;35412;2519;228;35412;2519;0;228;35412;2519;228;35412;2519;0.001706815;35641;109448;104147;0.022120609;0.12942099571228027;BUILT_MODEL;MathOptInterface.OPTIMAL;13.22536587715149;2.87;13.0;13.0;13;0.021340131759643555;13.246710062026978;13.246948027;false;0.098097147;13.347245004;0.104450838;./experiments_outputs/2021-05-26T19:02:42/jl_A1aaOC
../instances/G2CSP/A/A8;0;0;0;1;none;1;26;15;1;26;15;0;1;26;15;1;26;15;4.0507e-5;28;98;71;0.001698374;0.003801107406616211;BUILT_MODEL;MathOptInterface.OPTIMAL;0.004842042922973633;0.0;2.0;2.0;2;0.0009670257568359375;0.005812168121337891;0.005947426;false;0.094547102;0.102617133;0.094374996;./experiments_outputs/2021-05-26T19:02:42/jl_AwscQy
../instances/G2CSP/A/A31;0;0;0;1;none;26780;1390787;44751;26780;1390787;44751;0;26780;1390787;44751;26780;1390787;44751;0.052715732;1417568;4297489;4184737;0.646823765;5.442093849182129;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.6879739761353;3594.99;40.0;0.0;40;0.5928299427032471;NaN;NaN;true;0.198379091;3601.510915344;0.967667742;./experiments_outputs/2021-05-26T19:02:42/jl_aX9s2z
../instances/G2CSP/A/A30;0;0;0;1;none;4484;2088139;52547;4484;2088139;52547;0;4484;2088139;52547;4484;2088139;52547;0.116627295;2092624;6330441;6225705;0.971581647;7.392222166061401;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3614.0979101657867;3606.29;25.0;0.0;25;0.8884389400482178;NaN;NaN;true;0.266972174;3616.225079813;1.309536409;./experiments_outputs/2021-05-26T19:02:42/jl_bmmLJA
../instances/G2CSP/A/A34;0;0;0;1;none;2559;130447;7257;2559;130447;7257;0;2559;130447;7257;2559;130447;7257;0.012843129;133007;406302;390378;0.06101825;0.4840209484100342;BUILT_MODEL;MathOptInterface.OPTIMAL;88.02791380882263;32.95;6.0;6.0;6;0.06175804138183594;88.08967709541321;88.089844009;false;0.103371455;88.195311658;0.150161301;./experiments_outputs/2021-05-26T19:02:42/jl_EwbgAA
../instances/G2CSP/A/A17;0;0;0;1;none;20;3506;462;20;3506;462;0;20;3506;462;20;3506;462;0.000388386;3527;11044;10124;0.430674757;0.8056130409240723;BUILT_MODEL;MathOptInterface.OPTIMAL;1.1779940128326416;0.15;5.0;5.0;5;0.009907007217407227;1.1881539821624756;1.244174491;false;0.098269603;1.391872041;0.506628211;./experiments_outputs/2021-05-26T19:02:42/jl_gbU2kz
