filename;L;W;max_dub;min_dub;qt_piece_types;qt_pieces;total_piece_area
A1;2750;1220;18;6;2;24;7450524
A10;2550;2100;16;12;3;44;9876072
A11;2550;2100;140;8;20;724;232036468
A12;2550;2100;20;8;3;44;58159000
A13;2550;2100;120;8;8;304;63529562
A14;2550;2100;52;8;31;809;337797050
A15;2550;2100;80;8;12;339;187545642
A16;2550;2100;96;4;27;744;417348954
A17;2550;2100;57;28;3;135;23869958
A18;2550;2100;71;5;20;559;316240136
A19;2550;2100;50;3;27;507;272725146
A2;2750;1220;28;1;4;38;75095876
A20;2550;2100;60;3;10;215;120031592
A21;2550;2100;70;4;21;450;135636984
A22;2550;2100;24;24;1;24;10354344
A23;2550;2100;60;8;8;248;63195258
A24;2550;2100;12;1;107;217;165472652
A25;2550;2100;7;1;75;156;85388942
A26;2550;2100;8;1;34;61;34207965
A27;2550;2100;15;1;78;180;96152537
A28;2550;2100;6;1;54;106;53049725
A29;2550;2100;18;1;82;218;135444219
A3;2750;1220;16;1;2;17;16267918
A30;2550;2100;7;1;24;39;17597563
A31;2550;2100;6;1;36;64;36411208
A32;2550;2100;9;1;98;184;129737503
A33;2550;2100;15;1;134;309;174809546
A34;2550;2100;10;1;26;46;24597896
A35;2550;2100;14;1;68;144;80918586
A36;2550;2100;8;1;16;52;34752540
A37;2550;2100;40;1;8;78;22169901
A38;2550;2100;40;1;42;160;108013093
A39;2550;2100;4;1;11;22;14630050
A4;2750;1220;8;8;2;16;7305688
A40;2750;1220;20;1;40;163;48085772
A41;2750;1220;9;1;32;71;47340854
A42;2750;1220;3;1;8;13;14806805
A43;2750;1220;4;1;11;22;15896879
A5;2470;2080;32;8;8;138;57311200
A6;2750;1220;16;1;2;17;3956220
A7;2750;1220;16;8;5;58;31497124
A8;2750;1220;16;16;1;16;2410560
A9;2550;2100;68;6;30;770;293143644
