instance_path;rotation;mirror_plates;faithful;round2disc;pricing;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2CSP/CLASS/cl_05_080_01;0;0;0;1;none;552;266580;6524;552;266580;6524;0;552;266580;6524;552;266580;6524;0.010415384;267133;808001;794596;0.088592439;0.8872339725494385;BUILT_MODEL;MathOptInterface.OPTIMAL;1285.0828440189362;44.53;22.0;22.0;22;0.11731576919555664;1285.2001659870148;1285.200524609;false;0.112194632;1285.315011273;0.293427592;./experiments_outputs/2021-05-26T22:30:57/jl_03pwkN
../instances/G2CSP/CLASS/cl_09_020_06;0;0;0;1;none;91;741;121;91;741;121;0;91;741;121;91;741;121;5.9763e-5;833;2638;2345;0.000375191;0.0044040679931640625;BUILT_MODEL;MathOptInterface.OPTIMAL;0.016190052032470703;0.01;14.0;14.0;14;0.0014710426330566406;0.01766490936279297;0.036300825;false;0.094833004;0.133237476;0.094607066;./experiments_outputs/2021-05-26T22:30:57/jl_09xUZO
../instances/G2CSP/CLASS/cl_08_080_08;0;0;0;1;none;1036;90228;3522;1036;90228;3522;0;1036;90228;3522;1036;90228;3522;0.00339316;91265;277395;269724;0.032227836;0.2865269184112549;BUILT_MODEL;MathOptInterface.OPTIMAL;156.54902696609497;9.35;22.0;22.0;22;0.0418241024017334;156.59085488319397;156.591184201;false;0.111640318;156.705172989;0.131361578;./experiments_outputs/2021-05-26T22:30:57/jl_0bwt1P
../instances/G2CSP/CLASS/cl_02_060_05;0;0;0;1;none;77;13027;879;77;13027;879;0;77;13027;879;77;13027;879;0.00065387;13105;40234;38372;0.003642997;0.033804893493652344;BUILT_MODEL;MathOptInterface.OPTIMAL;45.81369400024414;0.37;2.0;2.0;2;0.009087800979614258;45.822787046432495;45.823150653;false;0.098136039;45.923381824;0.097074708;./experiments_outputs/2021-05-26T22:30:57/jl_0eQqFO
../instances/G2CSP/CLASS/cl_05_040_10;0;0;0;1;none;161;133576;3893;161;133576;3893;0;161;133576;3893;161;133576;3893;0.00665392;133738;405145;397292;0.033935966;0.42490506172180176;BUILT_MODEL;MathOptInterface.OPTIMAL;97.04756903648376;12.65;10.0;10.0;10;0.05808401107788086;97.10565710067749;97.105964043;false;0.108623029;97.216873684;0.149283578;./experiments_outputs/2021-05-26T22:30:57/jl_0FXLgO
../instances/G2CSP/CLASS/cl_08_100_01;0;0;0;1;none;791;151671;4606;791;151671;4606;0;791;151671;4606;791;151671;4606;0.005105524;152463;462092;452141;0.048729289;0.4401669502258301;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.0138940811157;21.34;27.0;26.0;27;0.06713986396789551;NaN;NaN;true;0.112464588;3600.223309437;0.157739697;./experiments_outputs/2021-05-26T22:30:57/jl_0HHpvN
../instances/G2CSP/CLASS/cl_05_040_06;0;0;0;1;none;259;190025;4791;259;190025;4791;0;259;190025;4791;259;190025;4791;0.008413593;190285;575684;566126;0.048329258;0.5620760917663574;BUILT_MODEL;MathOptInterface.OPTIMAL;203.90482711791992;17.2;12.0;12.0;12;0.0897369384765625;203.99456906318665;203.994886601;false;0.111639684;204.108797168;0.170897528;./experiments_outputs/2021-05-26T22:30:57/jl_0qqpXP
../instances/G2CSP/CLASS/cl_05_020_04;0;0;0;1;none;191;23393;1342;191;23393;1342;0;191;23393;1342;191;23393;1342;0.00096005;23585;72115;69542;0.006367598;0.07973909378051758;BUILT_MODEL;MathOptInterface.OPTIMAL;1.039086103439331;0.68;5.0;5.0;5;0.010888099670410156;1.0499770641326904;1.050262317;false;0.10298278;1.155533242;0.100740751;./experiments_outputs/2021-05-26T22:30:57/jl_0vYetP
../instances/G2CSP/CLASS/cl_03_080_06;0;0;0;1;none;201;23353;1234;201;23353;1234;0;201;23353;1234;201;23353;1234;0.006614893;23555;71973;69317;0.006985536;0.08383703231811523;BUILT_MODEL;MathOptInterface.OPTIMAL;6.029209136962891;0.61;20.0;20.0;20;0.014555931091308594;6.04377007484436;6.044122129;false;0.099763581;6.146044522;0.103353926;./experiments_outputs/2021-05-26T22:30:57/jl_0Xz0HP
../instances/G2CSP/CLASS/cl_06_040_04;0;0;0;1;none;614;9476502;72477;614;9476502;72477;0;614;9476502;72477;614;9476502;72477;1.001055442;9477117;28503866;28358473;3.005986116;33.18015694618225;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3605.2465829849243;3569.51;19.0;0.0;19;4.353723049163818;NaN;NaN;true;1.370326895;3611.319114566;5.981370707;./experiments_outputs/2021-05-26T22:30:57/jl_15nY9N
