filename;L;W;max_dub;min_dub;qt_piece_types;qt_pieces;total_piece_area;rnl;rnw;rrl;rrw
gcut1;250;250;1;1;10;10;163562;1;0;1//9;0//1
gcut2;250;250;1;1;20;20;274563;2;1;2//19;1//19
gcut3;250;250;1;1;30;30;407651;2;4;2//29;4//29
gcut4;250;250;1;1;50;50;731408;6;6;6//49;6//49
gcut5;500;500;1;1;10;10;545300;0;0;0//1;0//1
gcut6;500;500;1;1;20;20;1232057;1;1;1//19;1//19
gcut7;500;500;1;1;30;30;2004791;3;2;3//29;2//29
gcut8;500;500;1;1;50;50;2805462;6;4;6//49;4//49
gcut9;1000;1000;1;1;10;10;2021830;0;0;0//1;0//1
gcut10;1000;1000;1;1;20;20;5355377;0;0;0//1;0//1
gcut11;1000;1000;1;1;30;30;6536520;1;0;1//29;0//1
gcut12;1000;1000;1;1;50;50;12521992;1;3;1//49;3//49
wang20;70;40;4;1;20;42;23910;1;3;1//19;3//19
2s;40;70;3;1;10;23;4344;1;3;1//9;1//3
3s;40;70;4;1;20;62;44500;3;1;3//19;1//19
A1s;50;60;4;1;20;62;44500;3;1;3//19;1//19
A2s;60;60;4;1;20;53;34625;3;2;3//19;2//19
STS2s;55;85;5;1;30;78;50385;8;6;8//29;6//29
STS4s;99;99;4;1;20;50;42367;3;8;3//19;8//19
OF1;70;40;4;1;10;23;7670;2;0;2//9;0//1
OF2;70;40;4;1;10;24;8652;1;2;1//9;2//9
W;70;40;4;1;20;62;44500;1;3;1//19;3//19
CHL1s;132;100;5;1;30;63;64799;7;8;7//29;8//29
CHL2s;62;55;3;1;10;19;7117;1;0;1//9;0//1
A3;70;80;4;1;20;46;34754;6;2;6//19;2//19
A4;90;70;3;1;20;35;23613;3;1;3//19;1//19
A5;132;100;5;1;20;45;47557;5;6;5//19;6//19
CHL5;20;20;3;1;10;18;974;3;1;1//3;1//9
CHL6;130;130;5;1;30;65;80103;7;10;7//29;10//29
CHL7;130;130;5;1;35;75;85112;15;15;15//34;15//34
CU1;100;125;9;1;25;82;130159;8;5;1//3;5//24
CU2;150;175;8;1;35;90;337088;7;7;7//34;7//34
Hchl3s;127;98;8;2;10;51;32030;0;2;0//1;2//9
Hchl4s;127;98;6;1;10;32;20702;0;2;0//1;2//9
Hchl6s;253;244;5;1;22;60;256335;5;4;5//21;4//21
Hchl7s;263;241;4;1;40;90;396887;11;8;11//39;8//39
Hchl8s;49;20;3;1;10;18;974;3;1;1//3;1//9
cgcut1;15;10;5;1;7;16;225;4;2;2//3;1//3
cgcut2;40;70;3;1;10;23;4344;1;3;1//9;1//3
cgcut3;40;70;4;1;20;62;44500;3;1;3//19;1//19
okp1;100;100;5;1;15;50;34914;3;0;3//14;0//1
okp2;100;100;1;1;30;30;31398;5;2;5//29;2//29
okp3;100;100;1;1;30;30;36074;10;2;10//29;2//29
okp4;100;100;3;1;33;61;60320;5;8;5//32;1//4
okp5;100;100;5;1;29;97;76698;5;2;5//28;1//14
HH;127;98;6;1;5;18;13641;0;0;0//1;0//1
2;40;70;3;1;10;23;4344;1;3;1//9;1//3
3;40;70;4;1;20;62;44500;3;1;3//19;1//19
A1;50;60;4;1;20;62;44500;3;1;3//19;1//19
A2;60;60;4;1;20;53;34625;3;2;3//19;2//19
STS2;55;85;5;1;30;78;50385;8;6;8//29;6//29
STS4;99;99;4;1;20;50;42367;3;8;3//19;8//19
CHL1;132;100;5;1;30;63;64799;7;8;7//29;8//29
CHL2;62;55;3;1;10;19;7117;1;0;1//9;0//1
CW1;125;105;8;1;25;67;110469;4;5;1//6;5//24
CW2;145;165;4;1;35;63;256486;10;8;5//17;4//17
CW3;267;207;7;1;40;96;786329;6;6;2//13;2//13
Hchl2;130;130;5;1;35;75;86492;15;14;15//34;7//17
Hchl9;65;76;4;1;35;76;44799;13;9;13//34;9//34
