instance_path;solver_seed;rotation;mirror_plates;faithful;round2disc;pricing;hybridization;aggressive_hybridization;hybridizations;first_borns_killed_by_hybridization;aggressive_hybridization_extra_vars;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_value;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/A4;2;0;0;0;1;none;1;1;24585;10065;2705;1237;33198;1973;1237;33198;1973;0;1237;33198;1973;1237;33198;1973;0.001571139;34455;105378;115952;0.010746573;0.09953713417053223;BUILT_MODEL;MathOptInterface.OPTIMAL;4.128636121749878;6250.22856;1.33;6179.0;6179.0;6179;0.014917850494384766;4.143557071685791;4.143611241;false;0.103019257;4.248976044;0.103915616;./experiments_outputs/2022-03-04T14:37:48/jl_0442DX
../instances/STS2;5;0;0;0;1;none;1;0;14898;7823;0;2766;24909;1651;2766;24909;1651;0;2766;24909;1651;2766;24909;1651;0.00097565;27705;84826;86767;0.009172312;0.09943604469299316;BUILT_MODEL;MathOptInterface.OPTIMAL;1.2232680320739746;4673.33333;0.71;4620.0;4620.0;4620;0.011461973190307617;1.234734058380127;1.234792041;false;0.101822593;1.339001199;0.103403911;./experiments_outputs/2022-03-04T14:37:48/jl_05c1WW
../instances/CU2;7;0;0;0;1;none;1;1;21225;18941;4815;7440;21745;1347;7440;21745;1347;0;7440;21745;1347;7440;21745;1347;0.00076969;29220;89077;82395;0.013059098;0.08374905586242676;BUILT_MODEL;MathOptInterface.OPTIMAL;0.40221691131591797;26100.0;0.3;26100.0;26100.0;26100;0.012708187103271484;0.4149298667907715;0.415029405;false;0.101774279;0.519244713;0.102884343;./experiments_outputs/2022-03-04T14:37:48/jl_0B0IjY
../instances/CW2;4;0;0;0;1;none;1;1;16372;12021;5600;8297;16683;1274;8297;16683;1274;0;8297;16683;1274;8297;16683;1274;0.000616059;25015;76389;71064;0.011191412;0.09467411041259766;BUILT_MODEL;MathOptInterface.OPTIMAL;1.1485700607299805;5594.0;0.4;5354.0;5354.0;5354;0.010715961456298828;1.159289836883545;1.159352473;false;0.103084079;1.264902037;0.104159908;./experiments_outputs/2022-03-04T14:37:48/jl_0cK0fY
../instances/cgcut2;5;0;0;0;1;none;1;1;4389;2039;1950;159;7002;600;159;7002;600;0;159;7002;600;159;7002;600;0.000344123;7171;22133;23449;0.002017617;0.02124619483947754;BUILT_MODEL;MathOptInterface.OPTIMAL;0.33539700508117676;2894.36842;0.1;2892.0;2892.0;2892;0.003779172897338867;0.33917903900146484;0.339228792;false;0.098780089;0.440269908;0.096511377;./experiments_outputs/2022-03-04T14:37:48/jl_0Hc1IY
../instances/gcut8;4;0;0;0;1;none;1;0;16252;12771;0;14846;17948;1351;14846;17948;1351;0;14846;17948;1351;14846;17948;1351;0.000753118;32844;99983;87083;0.02085124;0.1056509017944336;BUILT_MODEL;MathOptInterface.OPTIMAL;0.4135870933532715;245758.0;0.29;245758.0;245758.0;245758;0.014104843139648438;0.42769694328308105;0.427768788;false;0.103642729;0.533869766;0.108305236;./experiments_outputs/2022-03-04T14:37:48/jl_0HMMXX
../instances/gcut8;10;0;0;0;1;none;0;0;0;0;0;15595;18653;1423;15595;18653;1423;0;15595;18653;1423;15595;18653;1423;0.000863698;34248;104217;86256;0.019915244;0.10425209999084473;BUILT_MODEL;MathOptInterface.OPTIMAL;0.408951997756958;245758.0;0.29;245758.0;245758.0;245758;0.014087200164794922;0.42304491996765137;0.423114929;false;0.103047954;0.528587992;0.107654427;./experiments_outputs/2022-03-04T14:37:48/jl_0iBmUX
../instances/Hchl3s;2;0;0;0;1;none;1;0;32877;7145;0;491;71348;3849;491;71348;3849;0;491;71348;3849;491;71348;3849;0.002700841;71849;219416;238823;0.022752096;0.2154231071472168;BUILT_MODEL;MathOptInterface.OPTIMAL;32.96167588233948;12354.027;6.36;12215.0;12215.0;12215;0.03146815299987793;32.99314785003662;32.993206168;false;0.114980444;33.110611138;0.1238383;./experiments_outputs/2022-03-04T14:37:48/jl_0jUwJY
../instances/gcut5;9;0;0;0;1;none;0;0;0;0;0;134;358;87;134;358;87;0;134;358;87;134;358;87;4.4153e-5;492;1573;1295;0.000392394;0.0033211708068847656;BUILT_MODEL;MathOptInterface.OPTIMAL;0.02541804313659668;217768.0;0.01;195582.0;195582.0;195582;0.0004930496215820312;0.025914907455444336;0.025960807;false;0.094684957;0.122724496;0.094282353;./experiments_outputs/2022-03-04T14:37:48/jl_0KTj6W
../instances/CU1;9;0;0;0;1;none;1;0;3785;2818;0;2446;5799;651;2446;5799;651;0;2446;5799;651;2446;5799;651;0.000276845;8270;25511;23090;0.003108513;0.02462601661682129;BUILT_MODEL;MathOptInterface.OPTIMAL;0.13151001930236816;12330.0;0.1;12330.0;12330.0;12330;0.0038099288940429688;0.13532304763793945;0.135404385;false;0.098913451;0.236598329;0.096545411;./experiments_outputs/2022-03-04T14:37:48/jl_0lZ68U
