instance_path;rotation;mirror_plates;faithful;round2disc;pricing;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2MKP/A02_M2;0;0;0;1;none;6;26;12;6;26;12;0;6;26;12;6;26;12;3.7111e-5;32;112;81;0.013922592;0.26937413215637207;BUILT_MODEL;MathOptInterface.OPTIMAL;0.2833881378173828;0.0;4.671806e6;4.671806e6;4671806;0.03055882453918457;0.31395983695983887;0.322394357;false;0.100801959;0.931857622;0.100447038;./experiments_outputs/2021-06-02T06:52:12/jl_1mzBMx
../instances/G2MKP/A07_M2;0;0;0;1;none;40;126;52;40;126;52;0;40;126;52;40;126;52;4.4835e-5;166;555;428;0.001926852;0.021110057830810547;BUILT_MODEL;MathOptInterface.OPTIMAL;0.02413010597229004;0.0;5.759424e6;5.759424e6;5759424;0.000993967056274414;0.025127887725830078;0.025414628;false;0.094260104;0.122108073;0.093990453;./experiments_outputs/2021-06-02T06:52:12/jl_8AZ44u
../instances/G2MKP/A03_M2;0;0;0;1;none;2;9;5;2;9;5;0;2;9;5;2;9;5;3.667e-5;11;40;27;0.001710862;0.0036449432373046875;BUILT_MODEL;MathOptInterface.OPTIMAL;0.004665851593017578;0.0;4.201018e6;4.201018e6;4201018;0.0003380775451660156;0.005007028579711914;0.005263795;false;0.094350305;0.10171971;0.094187817;./experiments_outputs/2021-06-02T06:52:12/jl_BywbYx
../instances/G2MKP/A05_M2;0;0;0;1;none;228;35412;2519;228;35412;2519;0;228;35412;2519;228;35412;2519;0.001785874;35640;109447;104146;0.022889133;0.11463594436645508;BUILT_MODEL;MathOptInterface.OPTIMAL;2.659514904022217;2.49;1.013404e7;1.013404e7;10134040;0.017635107040405273;2.677154064178467;2.677418456;false;0.103841309;2.783359975;0.108295872;./experiments_outputs/2021-06-02T06:52:12/jl_g4INuu
../instances/G2MKP/A02_M4;0;0;0;1;none;6;26;12;6;26;12;0;6;26;12;6;26;12;4.0847e-5;32;112;81;0.001712896;0.0037488937377929688;BUILT_MODEL;MathOptInterface.OPTIMAL;0.0050809383392333984;0.0;9.079396e6;9.079396e6;9079396;0.0061380863189697266;0.011223077774047852;0.01150491;false;0.096560333;0.110221389;0.096377737;./experiments_outputs/2021-06-02T06:52:12/jl_GqOETu
../instances/G2MKP/A02_M8;0;0;0;1;none;6;26;12;6;26;12;0;6;26;12;6;26;12;4.3492e-5;32;112;81;0.001761087;0.0037620067596435547;BUILT_MODEL;MathOptInterface.OPTIMAL;0.0050890445709228516;0.0;1.7894576e7;1.7894576e7;17894576;0.0006959438323974609;0.005787849426269531;0.006049372;false;0.095976827;0.1041588;0.095800543;./experiments_outputs/2021-06-02T06:52:12/jl_kCfcYv
../instances/G2MKP/A05_M4;0;0;0;1;none;228;35412;2519;228;35412;2519;0;228;35412;2519;228;35412;2519;0.001795542;35640;109447;104146;0.022923096;0.13471484184265137;BUILT_MODEL;MathOptInterface.OPTIMAL;2.925264835357666;2.31;1.9967032e7;1.9967032e7;19967032;0.019155025482177734;2.944425106048584;2.944705931;false;0.103743845;3.050901342;0.108270864;./experiments_outputs/2021-06-02T06:52:12/jl_RaXKtx
../instances/G2MKP/A07_M4;0;0;0;1;none;40;126;52;40;126;52;0;40;126;52;40;126;52;4.6107e-5;166;555;428;0.00185216;0.0042841434478759766;BUILT_MODEL;MathOptInterface.OPTIMAL;0.019308090209960938;0.0;1.0992036e7;1.0992036e7;10992036;0.0015590190887451172;0.020869970321655273;0.0211347;false;0.094325478;0.117531292;0.094038605;./experiments_outputs/2021-06-02T06:52:12/jl_ZWCqSy
../instances/G2MKP/A26_M2;0;0;0;1;none;7922;3243961;62935;7922;3243961;62935;0;7922;3243961;62935;7922;3243961;62935;0.130475461;3251883;9818618;9692187;2.055342741;24.62262797355652;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3601.471312046051;3576.09;-0.0;9.238678593e9;0;1.4067950248718262;NaN;NaN;true;0.35970111;3603.445095236;2.179588276;./experiments_outputs/2021-06-04T18:35:16/jl_0kZcgC
../instances/G2MKP/A15_M4;0;0;0;1;none;474;28335;1946;474;28335;1946;0;474;28335;1946;474;28335;1946;0.001284355;28809;88385;84144;0.01871149;0.10874509811401367;BUILT_MODEL;MathOptInterface.OPTIMAL;1.1604030132293701;1.01;2.0821776e7;2.0821776e7;20821776;0.016762971878051758;1.177170991897583;1.177440388;false;0.09991898;1.279562636;0.105321826;./experiments_outputs/2021-06-04T18:35:16/jl_13FOBA
../instances/G2MKP/A19_M4;0;0;0;1;none;14683;27144154;212367;14683;27144154;212367;0;14683;27144154;212367;14683;27144154;212367;7.976828939;27158837;81688905;81245112;9.951376786;126.16461300849915;BUILT_MODEL;MathOptInterface.MEMORY_LIMIT;288.7711250782013;NaN;NaN;NaN;-1;0.00026488304138183594;288.77139616012573;288.808595024;false;2.519666589;291.508382866;39.545081797;./experiments_outputs/2021-06-04T18:35:16/jl_2a5dfA
../instances/G2MKP/A11_M4;0;0;0;1;none;11921;5558420;121066;11921;5558420;121066;0;11921;5558420;121066;11921;5558420;121066;0.301407601;5570341;16832109;16590747;2.188159106;19.052953004837036;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3601.4567391872406;3581.08;-0.0;2.1435325224e11;0;2.3043699264526367;NaN;NaN;true;0.572008012;3604.381603462;2.340002739;./experiments_outputs/2021-06-04T18:35:16/jl_2MITyC
../instances/G2MKP/A41_M2;0;0;0;1;none;2283;416986;10275;2283;416986;10275;0;2283;416986;10275;2283;416986;10275;0.022150909;419269;1268114;1244457;0.131455426;1.529047966003418;BUILT_MODEL;MathOptInterface.OPTIMAL;193.32484316825867;94.04;6.576896478753407e6;6.576896478753407e6;6576896;0.17931890487670898;193.50416803359985;193.504491775;false;0.127031281;193.633794475;0.447509194;./experiments_outputs/2021-06-04T18:35:16/jl_2NtBeB
../instances/G2MKP/A40_M4;0;0;0;1;none;3374;104634;5694;3374;104634;5694;0;3374;104634;5694;3374;104634;5694;0.012407056;108008;329758;315554;0.043630938;0.37692689895629883;BUILT_MODEL;MathOptInterface.OPTIMAL;41.625195026397705;24.47;1.3252696e7;1.3252696e7;13252696;0.05463099479675293;41.679829835891724;41.680155138;false;0.106207232;41.790754793;0.146992461;./experiments_outputs/2021-06-04T18:35:16/jl_2UXEsB
../instances/G2MKP/A36_M2;0;0;0;1;none;1625;91583;5103;1625;91583;5103;0;1625;91583;5103;1625;91583;5103;0.01471575;93208;284743;273536;0.350057846;0.7097568511962891;BUILT_MODEL;MathOptInterface.OPTIMAL;50.650574922561646;10.85;1.0078104044724934e7;1.00781040449049e7;10078104;0.039916038513183594;50.69049620628357;50.702665857;false;0.122715573;50.839114336;0.418207673;./experiments_outputs/2021-06-04T18:35:16/jl_3Ui0AA
../instances/G2MKP/A37_M2;0;0;0;1;none;166;10594;1021;166;10594;1021;0;166;10594;1021;166;10594;1021;0.00053294;10760;33309;31225;0.0101741;0.05683612823486328;BUILT_MODEL;MathOptInterface.OPTIMAL;0.7635781764984131;0.37;1.0368156e7;1.0368156e7;10368156;0.0060880184173583984;0.7696700096130371;0.769939973;false;0.099371825;0.873987232;0.101196034;./experiments_outputs/2021-06-04T18:35:16/jl_4abSDD
