instance_path;rotation;mirror_plates;faithful;round2disc;pricing;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2MKP/CW02_M4;0;0;0;1;none;8297;13560;1274;8297;13560;1274;0;8297;13560;1274;8297;13560;1274;0.000662876;21857;66880;56140;0.009421671;0.11352300643920898;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.007521867752;0.34;17384.0;17501.0;17384;0.009897232055664062;NaN;NaN;true;0.139374032;3600.190305471;0.108368458;./experiments_outputs/2021-06-02T06:56:52/jl_1Gd26z
../instances/G2MKP/CW01_M2;0;0;0;1;none;3837;15996;1425;3837;15996;1425;0;3837;15996;1425;3837;15996;1425;0.000783876;19833;60949;54403;0.016230907;0.32248616218566895;BUILT_MODEL;MathOptInterface.OPTIMAL;4.678441047668457;0.51;12085.0;12085.0;12085;0.039376020431518555;4.717833995819092;4.726437614;false;0.108584079;5.347847993;0.104730627;./experiments_outputs/2021-06-02T06:56:52/jl_1uZMFB
../instances/G2MKP/CW08_M4;0;0;0;1;none;48664;105319;5652;48664;105319;5652;0;48664;105319;5652;48664;105319;5652;0.003818947;153983;467661;408428;0.074856015;0.6041789054870605;BUILT_MODEL;MathOptInterface.OPTIMAL;684.1549918651581;10.21;15074.0;15074.0;15074;0.07172608375549316;684.226725101471;684.227084423;false;0.112106866;684.341441253;0.166007454;./experiments_outputs/2021-06-02T06:56:52/jl_3cLHaz
../instances/G2MKP/CW06_M8;0;0;0;1;none;70060;130731;7458;70060;130731;7458;0;70060;130731;7458;70060;130731;7458;0.004889003;200791;609886;525199;0.112315445;0.7527639865875244;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.0174391269684;13.31;52046.0;52443.0;52046;0.08693385124206543;NaN;NaN;true;0.121665092;3600.262295452;0.177577834;./experiments_outputs/2021-06-02T06:56:52/jl_3dPOtz
../instances/G2MKP/CW08_M8;0;0;0;1;none;48664;105319;5652;48664;105319;5652;0;48664;105319;5652;48664;105319;5652;0.003819216;153983;467661;408428;0.076620268;0.6121780872344971;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.0148861408234;9.33;24909.0;24965.0;24909;0.07170677185058594;NaN;NaN;true;0.115852135;3600.234032924;0.166955904;./experiments_outputs/2021-06-02T06:56:52/jl_5U8Gcy
../instances/G2MKP/CW11_M2;0;0;0;1;none;47805;97246;4384;47805;97246;4384;0;47805;97246;4384;47805;97246;4384;0.003203583;145051;439597;384237;0.116382784;0.5847060680389404;BUILT_MODEL;MathOptInterface.OPTIMAL;7.158915996551514;3.29;12078.0;12078.0;12078;0.0666201114654541;7.225541830062866;7.241507445;false;0.107232759;7.356191458;0.16059896;./experiments_outputs/2021-06-02T06:56:52/jl_8BF2Nz
../instances/G2MKP/CW09_M8;0;0;0;1;none;27388;50732;3548;27388;50732;3548;0;27388;50732;3548;27388;50732;3548;0.002340876;78120;237958;204212;0.038356031;0.29036498069763184;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.0326068401337;2.64;46695.0;46754.0;46695;0.0344240665435791;NaN;NaN;true;0.132898113;3600.233918708;0.134115658;./experiments_outputs/2021-06-02T06:56:52/jl_8TM4Xx
../instances/G2MKP/CW07_M4;0;0;0;1;none;15516;31621;2315;15516;31621;2315;0;15516;31621;2315;15516;31621;2315;0.001455057;47137;143771;123851;0.018956758;0.19794082641601562;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.0161468982697;1.13;33519.0;33853.0;33519;0.019814014434814453;NaN;NaN;true;0.128165442;3600.198587955;0.117861696;./experiments_outputs/2021-06-02T06:56:52/jl_8wVI5w
../instances/G2MKP/CW03_M2;0;0;0;1;none;17473;29523;2202;17473;29523;2202;0;17473;29523;2202;17473;29523;2202;0.001268483;46996;143230;121581;0.018735529;0.19164586067199707;BUILT_MODEL;MathOptInterface.OPTIMAL;3.7470760345458984;0.89;10648.0;10648.0;10648;0.018759965896606445;3.7658398151397705;3.766176272;false;0.110281495;3.886920255;0.11023025;./experiments_outputs/2021-06-02T06:56:52/jl_ACBYqy
../instances/G2MKP/CW10_M4;0;0;0;1;none;48467;96862;4497;48467;96862;4497;0;48467;96862;4497;48467;96862;4497;0.003247585;145329;440544;383575;0.117648572;0.594080924987793;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.048727989197;3.81;23065.0;23171.0;23065;0.05948901176452637;NaN;NaN;true;0.143727048;3600.282442637;0.165470871;./experiments_outputs/2021-06-02T06:56:52/jl_bmFdnB
