filename;L;W;qt_original_plates;max_dub;min_dub;qt_piece_types;qt_pieces;total_piece_area
CW01_M2;125;105;2;8;1;25;67;110469
CW01_M4;125;105;4;8;1;25;67;110469
CW02_M2;145;165;2;4;1;35;63;256486
CW02_M4;145;165;4;4;1;35;63;256486
CW03_M2;267;207;2;7;1;40;96;786329
CW03_M4;267;207;4;7;1;40;96;786329
CW04_M2;465;387;2;8;1;39;86;2426389
CW04_M4;465;387;4;8;1;39;86;2426389
CW05_M2;524;678;2;8;1;35;91;4749587
CW05_M4;524;678;4;8;1;35;91;4749587
CW06_M2;781;657;2;10;1;55;149;10809659
CW06_M4;781;657;4;10;1;55;149;10809659
CW06_M8;781;657;8;10;1;55;149;10809659
CW07_M2;276;374;2;12;1;45;123;1792913
CW07_M4;276;374;4;12;1;45;123;1792913
CW07_M8;276;374;8;12;1;45;123;1792913
CW08_M2;305;287;2;11;1;60;168;2099207
CW08_M4;305;287;4;11;1;60;168;2099207
CW08_M8;305;287;8;11;1;60;168;2099207
CW09_M2;405;362;2;10;1;50;131;2913511
CW09_M4;405;362;4;10;1;50;131;2913511
CW09_M8;405;362;8;10;1;50;131;2913511
CW10_M2;992;970;2;5;1;60;130;22088870
CW10_M4;992;970;4;5;1;60;130;22088870
CW10_M8;992;970;8;5;1;60;130;22088870
CW11_M2;982;967;2;6;1;60;114;19684870
CW11_M4;982;967;4;6;1;60;114;19684870
CW11_M8;982;967;8;6;1;60;114;19684870
