instance_path;rotation;mirror_plates;faithful;round2disc;pricing;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2OPP/HopperTurton/C/c2-p3;0;0;0;1;none;57;6077;509;57;6077;509;0;57;6077;509;57;6077;509;0.000297874;6134;18930;17860;0.001549587;0.03490900993347168;BUILT_MODEL;MathOptInterface.OPTIMAL;9.46597695350647;0.14;0.0;0.0;0;0.003574848175048828;9.469556093215942;9.469829819;false;0.096394668;9.568459795;0.093316094;./experiments_outputs/2021-06-02T18:55:48/jl_0ysjxo
../instances/G2OPP/HopperTurton/C/c4-p1;0;0;0;1;none;200;92036;3255;200;92036;3255;0;200;92036;3255;200;92036;3255;0.003034263;92236;280010;273229;0.022302229;0.26442813873291016;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.0059180259705;11.67;NaN;NaN;-1;4.0531158447265625e-6;NaN;NaN;true;0.115175149;3601.04574567;0.137536491;./experiments_outputs/2021-06-02T18:55:48/jl_4QN50o
../instances/G2OPP/HopperTurton/C/c2-p2;0;0;0;1;none;33;7600;543;33;7600;543;0;33;7600;543;33;7600;543;0.000376975;7633;23463;22332;0.001891385;0.037552833557128906;BUILT_MODEL;MathOptInterface.INFEASIBLE;267.73219990730286;0.15;NaN;NaN;-1;4.0531158447265625e-6;267.73220801353455;267.732484503;false;0.096184651;267.83100492;0.093497748;./experiments_outputs/2021-06-02T18:55:48/jl_7ERatp
../instances/G2OPP/HopperTurton/C/c4-p3;0;0;0;1;none;136;98337;3368;136;98337;3368;0;136;98337;3368;136;98337;3368;0.003366742;98473;298829;291911;0.023020956;0.28261709213256836;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.0267131328583;11.36;NaN;NaN;-1;5.0067901611328125e-6;NaN;NaN;true;0.101047755;3600.158601014;0.129589256;./experiments_outputs/2021-06-02T18:55:48/jl_AFW30q
../instances/G2OPP/HopperTurton/C/c7-p2;0;0;0;1;none;161;3804812;37871;161;3804812;37871;0;161;3804812;37871;161;3804812;37871;0.198408592;3804973;11452951;11376814;1.300196986;11.96419906616211;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3601.5873839855194;3588.54;NaN;NaN;-1;5.0067901611328125e-6;NaN;NaN;true;0.408308985;3602.027871796;1.654487813;./experiments_outputs/2021-06-02T18:55:48/jl_cpNNbr
../instances/G2OPP/HopperTurton/C/c5-p2;0;0;0;1;none;60;196471;5183;60;196471;5183;0;60;196471;5183;60;196471;5183;0.006833712;196531;594836;584310;0.054542426;0.5396859645843506;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3600.1563198566437;29.26;NaN;NaN;-1;4.0531158447265625e-6;NaN;NaN;true;0.11395587;3600.30175808;0.168051501;./experiments_outputs/2021-06-02T18:55:48/jl_dv2cfn
../instances/G2OPP/HopperTurton/C/c1-p2;0;0;0;1;none;23;3333;323;23;3333;323;0;23;3333;323;23;3333;323;0.000173599;3356;10406;9728;0.000924473;0.010895967483520508;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.720322847366333;0.07;NaN;NaN;-1;5.0067901611328125e-6;0.7203309535980225;0.720611097;false;0.096602795;0.81931295;0.095153388;./experiments_outputs/2021-06-02T18:55:48/jl_EA2JKq
../instances/G2OPP/HopperTurton/C/c6-p3;0;0;0;1;none;186;435491;8990;186;435491;8990;0;186;435491;8990;186;435491;8990;0.024986234;435677;1316096;1297746;0.128409053;1.315384864807129;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3608.9188799858093;159.43;NaN;NaN;-1;5.0067901611328125e-6;NaN;NaN;true;0.133742496;3609.084742657;0.338803252;./experiments_outputs/2021-06-02T18:55:48/jl_Ew0phn
../instances/G2OPP/HopperTurton/C/c7-p3;0;0;0;1;none;336;3730400;37457;336;3730400;37457;0;336;3730400;37457;336;3730400;37457;0.157432265;3730736;11229834;11154288;1.320875064;11.95068097114563;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3601.2827699184418;3588.28;NaN;NaN;-1;5.0067901611328125e-6;NaN;NaN;true;0.410415583;3601.725031245;1.735449282;./experiments_outputs/2021-06-02T18:55:48/jl_fGamgn
../instances/G2OPP/HopperTurton/C/c3-p2;0;0;0;1;none;28;37175;1594;28;37175;1594;0;28;37175;1594;28;37175;1594;0.001551731;37203;113231;109977;0.008558481;0.11615109443664551;BUILT_MODEL;MathOptInterface.INFEASIBLE;2865.1102690696716;1.55;NaN;NaN;-1;3.814697265625e-6;2865.1102759838104;2865.110569165;false;0.103836561;2865.21677689;0.111124585;./experiments_outputs/2021-06-02T18:55:48/jl_GKMm6o
